Section,Type,Name,URL,Content
Headings,h1,Introduction to the RMA,,
Headings,h3,Statements of Principles,,
Headings,h3,Join our Mailing List,,
Headings,h3,Freedom of Information,,
Headings,h3,SOP Search,,
Headings,h3,What’s New,,
Headings,h3,Latest Investigations/Reviews,,
Paragraphs,p,,,
Paragraphs,p,,,"In 1994 the Australian Government requested the Repatriation Commission, in consultation with veterans' organisations, to prepare legislation to reform the process of decision making about disease causation. The aim was to create a more equitable and consistent system of dealing with claims for disability pensions received from Australian veterans and their dependants. One of the outcomes of the legislative reform was the formation of the Repatriation Medical Authority (RMA) which is an independent statutory authority responsible to the Minister for Veterans' Affairs."
Paragraphs,p,,,"The RMA consists of a panel of five practitioners eminent in fields of medical science. Their role is to determine Statements of Principles (SOPs) for any disease, injury or death that could be related to military service, based on sound medical-scientific evidence. The SOPs state the factors which ""must"" or ""must as a minimum"" exist to cause a particular kind of disease, injury or death."
Paragraphs,p,,,In carrying out its duties the RMA is bound by relevant sections of theVeterans' Entitlements Act 1986: PART XIA.
Paragraphs,p,,,"The SOPs are disallowable instruments which are tabled in both Houses of the Australian Parliament and they are binding on the various decision makers. The matters of fact relating to an individual veteran's case, including the nature of service and any connection between eligible service and the factors in the SOPs, are determined by the various decision makers. These decision makers include the delegates of the Repatriation Commission, the Military Rehabilitation and Compensation Commission, the Veterans' Review Board and the Administrative Appeals Tribunal."
Paragraphs,p,,,"On this website you can access information about the RMA, its membership, processes and publications. The website includes a comprehensivesitemapin the footer and a search facility at the top of each page. The website is easy to access and view from smart phones and tablets. Copies of allSOPsproduced by the RMA since 1994 and information aboutinvestigations and reviewscan also be found. The site features significantly improved capacity to search and find Statements of Principles (SOPs) - and other information. You can search by SOP number, year, the name of the condition or ICD code, and now hundreds of commonly used names of medical conditions can be entered in thesearch fieldto identify the applicable SOP. All information relating to a condition (the current SOPs, past SOPs, historical documents such as declarations or reasons for decision, and the most recent Explanatory Statements tabled in Parliament) are now available together in a single page relating to each condition. A range of common questions raised by stakeholders can be found on theFAQspage."
Paragraphs,p,,,"Requests for the RMA to undertake aninvestigation or reviewof the contents of an existing SOP or make asubmissionin relation to an existing review, can be lodgedonline, with the capacity to upload supporting documentation and print a copy of the completed request for your records. If you have any questions, pleasecontact us."
Paragraphs,p,,,Here you may access all of the Statements of Principles.
Paragraphs,p,,,Do you want to be notified of the latest news from this site?
Paragraphs,p,,,Information about theFreedom of Information Act 1982and the RMA.
Paragraphs,p,,,
Images,img,Repatriation Medical Authority,http://www.rma.gov.au//_resources/themes/rma/production/images/logo-stacked.png?m=1750382614,
Images,img,Repatriation Medical Authority,http://www.rma.gov.au//_resources/themes/rma/production/images/logo-side-by-side.png?m=1750382614,
Images,img,Information Publication Scheme,http://www.rma.gov.au//_resources/themes/rma/production/images/logo-ips.png?m=1750382614,
Links,a,,https://www.rma.gov.au,
Links,a,Home,/,
Links,a,What's New,/whats-new,
Links,a,What's New,/whats-new,
Links,a,Archive,/whats-new/archive,
Links,a,Who We Are,/who-we-are,
Links,a,Who We Are,/who-we-are,
Links,a,Secretariat Staff,/who-we-are/secretariat-staff,
Links,a,What We Do,/what-we-do,
Links,a,Consultation,/consultation,
Links,a,SOPs,/sops,
Links,a,SOPs,/sops,
Links,a,Non-SOP Conditions,/sops/non-sop-conditions,
Links,a,Non-SOP Investigations,/sops/non-sop-investigations,
Links,a,Investigations,/investigations,
Links,a,Investigations,/investigations,
Links,a,Lodge an online request for an Investigation/Review,/investigations/lodge-an-online-request-for-an-investigation-review,
Links,a,Lodge an online submission regarding a current Investigation/Review,/investigations/lodge-an-online-submission-regarding-a-current-investigation-review,
Links,a,FOI / IPS,/foi-ips,
Links,a,FOI / IPS,/foi-ips,
Links,a,FOI Disclosure Log,/foi-ips/foi-disclosure-log,
Links,a,Routinely Requested Information and Disclosure Log,/foi-ips/routinely-requested-information-and-disclosure-log,
Links,a,Consultation Arrangements,/foi-ips/consultation-arrangements,
Links,a,FOI Questions,/foi-ips/foi-questions,
Links,a,Publications,/publications,
Links,a,Links,/links,
Links,a,FAQs,/faqs,
Links,a,Mailing List,/mailing-list,
Links,a,Mailing List,/mailing-list,
Links,a,Unsubscribe,/mailing-list/unsubscribe,
Links,a,Contact Us,/contact-us,
Links,a,Veterans' Entitlements Act 1986: PART XIA.,https://www.legislation.gov.au/C2004A03268/latest/text,
Links,a,sitemap,/sitemap,
Links,a,SOPs,/sops,
Links,a,investigations and reviews,/investigations,
